,Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description,id,search_text
330,Gross State Value Added by economic activity at current prices for 2011-12 to 2022-23 - Gujarat,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,2024-08-01,SDPAFY24183ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Gujarat_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",330,gross state value added by economic activity at current prices for 2011 12 to 2022 23   gujarat estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
331,Gross State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Uttarakhand,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24271ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Uttarakhand_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",331,gross state value added by economic activity at current prices for 2011 12 to 2023 24   uttarakhand estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
332,Net State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Uttar Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24269ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Uttar_Pradesh_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",332,net state value added by economic activity at current prices for 2011 12 to 2023 24   uttar pradesh estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
333,Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Uttar Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24268ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Uttar_Pradesh_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",333,net state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24   uttar pradesh estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
334,Gross State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Uttar Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24267ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Uttar_Pradesh_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",334,gross state value added by economic activity at current prices for 2011 12 to 2023 24   uttar pradesh estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
335,Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24- Uttar Pradesh,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24266ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Uttar_Pradesh_GSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",335,gross state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24  uttar pradesh estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
336,Net State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Tripura,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24265ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Tripura_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",336,net state value added by economic activity at current prices for 2011 12 to 2023 24   tripura estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
337,Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Tripura,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24264ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Tripura_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",337,net state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24   tripura estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
338,Gross State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Tripura,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24263ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Tripura_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",338,gross state value added by economic activity at current prices for 2011 12 to 2023 24   tripura estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
339,Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24- Tripura,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24262ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Tripura_GSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",339,gross state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24  tripura estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
340,Net State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Telangana,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24261ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Telangana_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",340,net state value added by economic activity at current prices for 2011 12 to 2023 24   telangana estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
341,Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Telangana,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24260ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Telangana_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",341,net state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24   telangana estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
342,Gross State Value Added by economic activity at current prices for 2011-12 to 2023-24- Telangana,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24259ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Telangana_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",342,gross state value added by economic activity at current prices for 2011 12 to 2023 24  telangana estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
343,Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Telangana,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24258ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Telangana_GSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",343,gross state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24   telangana estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
344,Net State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Tamil Nadu,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24257ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Tamil_Nadu_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",344,net state value added by economic activity at current prices for 2011 12 to 2023 24   tamil nadu estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
345,Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Tamil Nadu,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24256ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Tamil_Nadu_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",345,net state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24   tamil nadu estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
346,Gross State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Tamil Nadu,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24255ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Tamil_Nadu_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",346,gross state value added by economic activity at current prices for 2011 12 to 2023 24   tamil nadu estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
347,Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24- Tamil Nadu,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24254ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Tamil_Nadu_GSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",347,gross state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24  tamil nadu estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
348,Net State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Sikkim,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24253ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Sikkim_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",348,net state value added by economic activity at current prices for 2011 12 to 2023 24   sikkim estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
349,Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Sikkim,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24252ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Sikkim_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",349,net state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24   sikkim estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
350,Gross State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Sikkim,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24251ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Sikkim_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",350,gross state value added by economic activity at current prices for 2011 12 to 2023 24   sikkim estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
351,Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Sikkim,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24250ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Sikkim_GSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",351,gross state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24   sikkim estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
352,Net State Value Added by economic activity at current prices for 2011-12 to 2023-24- Rajasthan,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24249ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Rajasthan_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",352,net state value added by economic activity at current prices for 2011 12 to 2023 24  rajasthan estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
353,Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Rajasthan,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24248ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Rajasthan_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",353,net state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24   rajasthan estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
354,Gross State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Rajasthan,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24247ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Rajasthan_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",354,gross state value added by economic activity at current prices for 2011 12 to 2023 24   rajasthan estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
355,Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24- Rajasthan,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24246ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Rajasthan_GSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",355,gross state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24  rajasthan estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
356,Net State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Punjab,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24245ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Punjab_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",356,net state value added by economic activity at current prices for 2011 12 to 2023 24   punjab estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
357,Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Punjab,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24244ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Punjab_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",357,net state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24   punjab estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
358,Gross State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Punjab,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24243ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Punjab_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",358,gross state value added by economic activity at current prices for 2011 12 to 2023 24   punjab estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
359,Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24- Uttarakhand,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24270ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Uttarakhand_GSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",359,gross state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24  uttarakhand estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
360,Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Uttarakhand,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24272ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Uttarakhand_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",360,net state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24   uttarakhand estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
361,Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2022-23 - Manipur,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,2024-08-01,SDPAFY24220ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Manipur_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",361,net state value added by economic activity at constant 2011 12 prices for 2011 12 to 2022 23   manipur estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
362,Net State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Uttarakhand,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24273ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Uttarakhand_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",362,net state value added by economic activity at current prices for 2011 12 to 2023 24   uttarakhand estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
363,Net State Value Added by economic activity at current prices for 2011-12 to 2022-23 - Manipur,NAS,National Accounts Statistics,"All India, States",Annual,2022-23,2024-08-01,SDPAFY24221ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Manipur_NSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",363,net state value added by economic activity at current prices for 2011 12 to 2022 23   manipur estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
364,Gross State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24- Meghalaya,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24222ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Meghalaya_GSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",364,gross state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24  meghalaya estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
365,Gross State Value Added by economic activity at current prices for 2011-12 to 2023-24 - Meghalaya,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24223ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Meghalaya_GSVA_cur.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",365,gross state value added by economic activity at current prices for 2011 12 to 2023 24   meghalaya estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
366,Net State Value Added by economic activity at constant (2011-12) prices for 2011-12 to 2023-24 - Meghalaya,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,2024-08-01,SDPAFY24224ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/Meghalaya_NSVA_const.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website",366,net state value added by economic activity at constant 2011 12 prices for 2011 12 to 2023 24   meghalaya estimates of state domestic product are prepared by directorate of economics statistics of the respective state government in consultation with national accounts division national statistical office nso mospi and made available to nso for uploading on ministrys website
